date,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
2015-03-27,0.08627069043735318,0.06197196688771158,0.18843302823997377,0.2370514593551653,0.23688604877822556,0.18456052885214796,0.25745498583151516,0.18424516881394482,0.15931206177322488,0.14983703852030886
2015-03-30,0.015835898165287566,0.09287953669163689,0.13578218395090036,0.20233827068458504,0.15698256591121834,0.1826661506829494,0.17634667828246564,0.11574906680597277,0.14348977249489875,0.12074030330671
2015-03-31,0.017856356950375483,0.10909729425562058,0.1706482031817856,0.15945644934327619,0.17483620760686386,0.18425207346116132,0.17965818531115507,0.16912186429993734,0.1657395070855301,0.11765426821371228
2015-04-01,0.018485811068774272,0.0969390915736941,0.16530979268538876,0.1408883058088955,0.13592323824735547,0.1686857487059239,0.14869047201829738,0.17690606557192917,0.14406177391879096,0.08963213891502275
2015-04-02,0.014518612293293298,0.08207171116679615,0.1708063085074015,0.13771117331711935,0.13981449708470345,0.13762784619278817,0.19091811986921237,0.15667234956496282,0.12661532555751295,0.0877261770008361
2015-04-03,0.01446559261343261,0.05376414935471361,0.0766741239271431,0.1376268369278107,0.09804889055003141,0.08519497233179378,0.07479522067124461,0.1063166173770445,0.08148221475008843,0.04395882120436112
2015-04-07,0.004188534418091527,0.07780622400596762,0.06205099207938982,0.06690043086902575,0.06378869970285272,0.05405740861919419,0.06349512816994862,0.032746085409975034,0.02380343826633624,-0.020888878617562435
2015-04-08,0.007894483386692963,0.006543164207949381,0.04069316799695168,0.0574148700479265,0.06610126835969692,0.02794332758696516,0.03710125008202375,0.05827876543863009,0.022737138277123804,-0.0725392539336179
2015-04-09,0.011142022777319838,0.051589111404774866,0.10132435688440315,0.04404515924217117,0.07594453808131787,0.06427139064792842,0.06244891544470638,0.08934690207599556,0.0779635352372677,-0.0065797758602925025
2015-04-10,0.01291967288025917,0.1086671538100352,0.08536542252099259,0.013402248682080758,0.0734812606343774,0.1023932631510657,0.06162590468400317,0.08141342228280299,0.10710058570664613,0.08669562061829725
2015-04-13,0.010616088312485616,0.07757157028887791,0.03219087281942393,0.06934756444312158,0.06049958026009135,0.07555751094408109,0.07578649258219375,0.13960131330004638,0.07356349781066691,0.13001495107892774
2015-04-14,0.012841507820747288,0.04556796744267977,0.10498390271276331,0.05812313177800836,0.10219973320213811,0.04357262762415809,0.11230416821080827,0.03672082865583404,0.04782484539781371,0.09015689156876579
2015-04-15,0.012575949714123435,0.09686607156282837,0.10181958052601572,0.08375890679297446,0.21479689265599283,0.03646875802082927,0.08065047475478018,0.07859127551408798,0.03436816226432797,0.05516118983166882
2015-04-16,0.016295363870615143,0.12601932408224265,0.04529820914610281,0.10063324043546562,0.13378719579641035,0.11751323538467054,-0.038750291929246145,0.027416268378786014,-0.01933691895634635,0.0242775534823191
2015-04-17,0.013667984480906758,0.09517179320417175,0.15013224982047083,0.16866840700289276,0.04777672742868033,0.047611527013133294,-0.06554600862041071,0.022235721135296573,-0.05957965632080631,-0.0566617129325387
2015-04-20,0.018583197731318092,0.21598908648235332,0.14043841360175904,0.06226070899405359,0.15667949545170967,0.0859971357645711,0.06631736400085197,0.03982450134270745,0.0023986099384021077,-0.03069757740065413
2015-04-21,0.009432106427300547,0.22994559170529622,0.0819842497128713,0.07698321970220798,0.10873852834303514,0.09598771933597336,0.007051587953670113,0.018745351547958134,0.031011213641378467,-0.024096112830654846
2015-04-22,0.09687394722982275,0.19656398889210117,0.1756277573115538,0.12166741228063593,0.07772895913582903,-0.021929283945949885,0.034208358285258644,-0.008377044752941454,0.012197205296875513,-0.014051383459768951
2015-04-23,0.1263924824596243,0.15534684660896064,0.14740293669145746,0.19070690736130452,0.059639012764703694,0.05190995422549441,0.053029223090991714,0.0214824677457947,0.00438931043083417,0.017985618801404014
2015-04-24,0.009968908556450006,0.2241465922738195,0.10864176123566685,0.2083871954961868,0.17731354915009442,0.07957432010267079,0.08048120516880553,0.0821035860759896,0.08250229399248314,0.10141106136463525
2015-04-27,0.009262182070358494,0.3572832860240862,0.1321721405883754,0.094432363797441,0.1245591906552848,0.18595332353326188,0.06213533685174184,0.13986432128732468,0.02616906692365193,0.015924453674362505
2015-04-28,0.0014583243457396478,0.39584185215540024,0.2235266611889779,0.07917105129189073,0.06506020265026982,0.16864380236764337,0.11558488756984561,0.10317641121033891,0.09964374752699554,0.06110813754692437
2015-04-29,0.0004326553765091834,0.36849314897293606,0.034998310823121125,0.07796812500100969,0.07614444621642509,0.03701419943761064,0.04150980912616202,0.026572794655117794,0.08105555950019112,-0.036810348355625
2015-04-30,0.0016143178826685922,0.1022866400683119,0.01122096670991699,0.1431983932362954,0.22156702231499095,0.01906968190640046,0.09548407654188432,0.03367630604088603,0.006044168961194929,0.020408664612403336
2015-05-04,-0.001578957099085354,0.3714866517648202,0.11838855202032161,0.054682721950098975,0.12786785913225715,0.12037575555811786,0.13546608865594653,0.0481162949250701,0.0846802203736035,-0.0011205195891047294
2015-05-05,-0.005655977884373909,0.19451852484781926,0.25059382731096924,0.2204299660445755,0.20892712423115795,0.2304166477378547,0.14735194656699852,0.15515495941135488,0.15494687482695063,0.04554168709944002
2015-05-06,0.11089087617143008,0.23546837308240712,0.13144872073704425,0.14827405505620517,0.1568216125190011,0.20398751988339975,0.3570977044243469,0.09359807790495278,0.13409507689836025,0.1260179077744104
2015-05-07,0.12994037074032255,0.13836298496967936,0.1658519313790979,0.2169991337319644,0.19384927369750632,0.2546591463413712,0.20854389709486498,0.1233977034634195,0.26321599893600955,0.21277711611050626
2015-05-08,0.004116227520768479,0.1354062049579383,0.06336015721353982,0.26173244642552057,0.23003378602190364,0.1862525489468888,0.18607511536498184,0.19138921233287162,0.16326947427841249,0.2926167310712712
2015-05-11,-0.00617577333529371,0.042871914251097556,0.11728481824722796,0.1601630825185502,0.16271290853690484,0.18486126282127519,0.12915714480113327,0.22243002239944837,0.1906357791546746,0.18355618399100462
2015-05-12,-0.01040791202606135,0.02521192142915214,0.1090099305906465,0.16423978455039392,0.12091802074954497,0.140241934372476,0.14283127967597675,0.17594174002473872,0.16181578760578924,0.1627156065868954
2015-05-13,0.019196763676271655,0.04834353058843952,0.07582203191870715,0.11591371470632753,0.1339138669718231,0.1695063997249106,0.17755001498160725,0.17174261552110232,0.19870880066951307,0.21534646794128348
2015-05-14,0.028241365849820198,-0.0005242598773516516,0.07082674005021258,0.11548194014914918,0.12998957843749914,0.18001695989666117,0.18868038633144502,0.1781079939166696,0.2416524745391832,0.21072662582779483
2015-05-15,0.06535334655490772,0.1310303753244943,0.07475031799918178,0.027046722497953878,0.1409295292610008,0.2175208493806488,0.18783952557168493,0.22180928535193992,0.2668765105534587,0.23926518949113312
2015-05-18,0.10328270321207471,0.07731706453093223,0.17437987015311446,0.143035161483225,0.00912785076360929,0.15320899505639138,0.10238335260646644,0.2054517791115412,0.21944280328791196,0.16489208754649046
2015-05-19,0.08425301744136862,0.014579213136507008,0.005032010706006051,0.08347012746333193,0.01624059150149626,0.06151584620117406,0.12472528601792714,0.14466633548121996,0.12936061186896045,0.10311821911444063
2015-05-20,0.04291363915055828,0.06184694062063319,0.04480661364692688,0.07734038337748392,0.01803311165016743,0.1355236755596742,0.10379272065023133,0.14164367773526684,0.1215981931898383,0.10668096998917216
2015-05-21,0.022012396420807788,0.004513372063927168,-0.005595373461482489,0.040261761193742675,0.04274451790763043,0.023820966336436267,0.051429516482705176,0.056149085531696216,0.04728949390920967,-0.012275880850689602
2015-05-22,-0.06828651321861803,-0.02790666275006266,-0.03435325294194271,-0.060018551286795674,-0.029776199120066793,0.02535043171456347,-0.04490757456069834,0.008189890180232529,-0.0328018568082256,-0.09815290273125592
2015-05-25,-0.011981832038783091,-0.06717647953560069,-0.027608651862978405,-0.06498581316175192,-0.06083265087473464,-0.07212408988733118,-0.022274442535309746,-0.028547873358445573,-0.021365280932845555,-0.08068983585941777
2015-05-26,0.0008430168892404888,-0.03831607669106587,-0.03948394032473941,-0.0882472079723253,-0.04572999225395813,-0.028437531148550466,-0.024872386433096215,-0.04338515477962903,-0.053398338210244756,-0.1215020215623471
2015-05-27,-0.03391337455399768,-0.02508006330328416,-0.057303182464984316,-0.1052977890803295,-0.07330388722223422,-0.04076802482123326,-0.05261353202330774,-0.07761121590810163,-0.06537619462135873,-0.16991795631960016
